Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
nucleotide-excision repair [GO:0006289],4,2,0.9095171835806248,0.9821783359878924,0.5,Q84L31/Q9FNY7,BP
response to UV [GO:0009411],2,1,0.748166583291646,0.9605665722379605,0.5,Q84L31,BP
UV protection [GO:0009650],2,1,0.748166583291646,0.9605665722379605,0.5,Q84L31,BP
jasmonic acid biosynthetic process [GO:0009695],4,1,0.5595782600797076,0.9605665722379605,0.25,Q84P21,BP
arachidonic acid secretion [GO:0050482],1,1,0.8650000000000001,0.9605665722379605,1,Q8GV50,BP
lipid catabolic process [GO:0016042],21,3,0.4458687485719036,0.9605665722379605,0.143,Q8GV50/O22927/Q9FIA1,BP
phospholipid metabolic process [GO:0006644],2,1,0.748166583291646,0.9605665722379605,0.5,Q8GV50,BP
pollen germination [GO:0009846],5,2,0.8623560761549001,0.9605665722379605,0.4,Q8GV50/Q8S4Y1,BP
pollen tube growth [GO:0009860],17,3,0.5917014972548639,0.9605665722379605,0.176,Q8GV50/Q8S4Y1/O80483,BP
endoplasmic reticulum unfolded protein response [GO:0030968],6,1,0.4183957721579292,0.9605665722379605,0.167,Q8GWH3,BP
ERAD pathway [GO:0036503],2,1,0.748166583291646,0.9605665722379605,0.5,Q8GWH3,BP
negative regulation of gibberellic acid mediated signaling pathway [GO:0009938],2,1,0.748166583291646,0.9605665722379605,0.5,Q8GXW1,BP
negative regulation of seed germination [GO:0010187],7,1,0.3617423827483801,0.9605665722379605,0.143,Q8GXW1,BP
regulation of seed dormancy process [GO:2000033],2,1,0.748166583291646,0.9605665722379605,0.5,Q8GXW1,BP
regulation of seed germination [GO:0010029],7,2,0.7583161086152239,0.9605665722379605,0.286,Q8GXW1/Q9SLD2,BP
response to gibberellin [GO:0009739],12,2,0.5035765436015953,0.9605665722379605,0.167,Q8GXW1/Q9FG05,BP
DNA-templated transcription [GO:0006351],13,2,0.4590568369018888,0.9605665722379605,0.154,Q8GZ13/Q6NLH0,BP
positive regulation of shade avoidance [GO:1902448],1,1,0.8650000000000001,0.9605665722379605,1,Q8GZ13,BP
regulation of phenylpropanoid metabolic process [GO:2000762],1,1,0.8650000000000001,0.9605665722379605,1,Q8GZ13,BP
regulation of protein serine/threonine phosphatase activity [GO:0080163],1,1,0.8650000000000001,0.9605665722379605,1,Q8H1R0,BP
photosystem II assembly [GO:0010207],2,1,0.748166583291646,0.9605665722379605,0.5,Q8L540,BP
developmental process involved in reproduction [GO:0003006],1,1,0.8650000000000001,0.9605665722379605,1,Q8L796,BP
lateral root formation [GO:0010311],4,1,0.5595782600797076,0.9605665722379605,0.25,Q8L796,BP
phosphatidylinositol metabolic process [GO:0046488],2,1,0.748166583291646,0.9605665722379605,0.5,Q8L796,BP
phosphorylation [GO:0016310],22,4,0.6550771153187758,0.9605665722379605,0.182,Q8L796/Q8VYB2/Q9S750/O65595,BP
brassinosteroid mediated signaling pathway [GO:0009742],12,2,0.5035765436015953,0.9605665722379605,0.167,Q8L7U5/Q9LVM5,BP
chorismate metabolic process [GO:0046417],2,1,0.748166583291646,0.9605665722379605,0.5,Q8LPN3,BP
folic acid biosynthetic process [GO:0046656],2,1,0.748166583291646,0.9605665722379605,0.5,Q8LPN3,BP
glutamine metabolic process [GO:0006541],4,1,0.5595782600797076,0.9605665722379605,0.25,Q8LPN3,BP
para-aminobenzoic acid biosynthetic process [GO:0008153],1,1,0.8650000000000001,0.9605665722379605,1,Q8LPN3,BP
tetrahydrofolate biosynthetic process [GO:0046654],3,1,0.6470629909549369,0.9605665722379605,0.333,Q8LPN3,BP
sterol metabolic process [GO:0016125],2,1,0.748166583291646,0.9605665722379605,0.5,Q8S4Y1,BP
plastoquinone biosynthetic process [GO:0010236],2,1,0.748166583291646,0.9605665722379605,0.5,Q8S948,BP
protein catabolic process [GO:0030163],4,2,0.9095171835806248,0.9821783359878924,0.5,Q8VWK0/Q8GYA6,BP
cellular response to hypoxia [GO:0071456],24,2,0.1444922163411213,0.9605665722379605,0.083,Q8VYB2/Q84VY3,BP
CTP salvage [GO:0044211],1,1,0.8650000000000001,0.9605665722379605,1,Q8VYB2,BP
UMP salvage [GO:0044206],1,1,0.8650000000000001,0.9605665722379605,1,Q8VYB2,BP
positive regulation of DNA endoreduplication [GO:0032877],2,1,0.748166583291646,0.9605665722379605,0.5,Q8VZS9,BP
positive regulation of ubiquitin protein ligase activity [GO:1904668],1,1,0.8650000000000001,0.9605665722379605,1,Q8VZS9,BP
de-etiolation [GO:0009704],4,1,0.5595782600797076,0.9605665722379605,0.25,Q8W2F3,BP
phototropism [GO:0009638],3,1,0.6470629909549369,0.9605665722379605,0.333,Q8W2F3,BP
positive regulation of thermomorphogenesis [GO:0140922],1,1,0.8650000000000001,0.9605665722379605,1,Q8W2F3,BP
red light signaling pathway [GO:0010161],1,1,0.8650000000000001,0.9605665722379605,1,Q8W2F3,BP
regulation of auxin biosynthetic process [GO:0010600],1,1,0.8650000000000001,0.9605665722379605,1,Q8W2F3,BP
regulation of auxin mediated signaling pathway [GO:0010928],6,1,0.4183957721579292,0.9605665722379605,0.167,Q8W2F3,BP
regulation of plant organ morphogenesis [GO:1905421],1,1,0.8650000000000001,0.9605665722379605,1,Q8W2F3,BP
regulation of transcription by RNA polymerase II [GO:0006357],9,1,0.27034677094447535,0.9605665722379605,0.111,Q8W2F3,BP
response to auxin [GO:0009733],41,4,0.1748085289981749,0.9605665722379605,0.098,Q8W2F3/F4JF14/Q8W4K5/Q9FJF6,BP
response to heat [GO:0009408],15,2,0.37846163602199145,0.9605665722379605,0.133,Q8W2F3/Q8VYJ7,BP
response to low fluence blue light stimulus by blue low-fluence system [GO:0010244],1,1,0.8650000000000001,0.9605665722379605,1,Q8W2F3,BP
response to salt [GO:1902074],7,3,0.9438436429772776,0.9883966754829437,0.429,Q8W2F3/Q93WF6/Q9C690,BP
response to temperature stimulus [GO:0009266],3,1,0.6470629909549369,0.9605665722379605,0.333,Q8W2F3,BP
actin filament bundle assembly [GO:0051017],2,1,0.748166583291646,0.9605665722379605,0.5,Q8W4E2,BP
actin filament capping [GO:0051693],1,1,0.8650000000000001,0.9605665722379605,1,Q8W4E2,BP
ATP metabolic process [GO:0046034],1,1,0.8650000000000001,0.9605665722379605,1,Q8W4E2,BP
negative regulation of actin filament depolymerization [GO:0030835],1,1,0.8650000000000001,0.9605665722379605,1,Q8W4E2,BP
cellular response to water deprivation [GO:0042631],7,2,0.7583161086152239,0.9605665722379605,0.286,Q93WF6/Q94C77,BP
leaf senescence [GO:0010150],11,1,0.20197897665327158,0.9605665722379605,0.091,Q93WF6,BP
regulation of defense response to bacterium [GO:1900424],2,1,0.748166583291646,0.9605665722379605,0.5,Q93WF6,BP
response to absence of light [GO:0009646],6,1,0.4183957721579292,0.9605665722379605,0.167,Q93WF6,BP
response to fungus [GO:0009620],16,2,0.3424374632796531,0.9605665722379605,0.125,Q93WF6/O81815,BP
response to hydrogen peroxide [GO:0042542],5,1,0.4838838060609094,0.9605665722379605,0.2,Q93WF6,BP
response to insect [GO:0009625],5,1,0.4838838060609094,0.9605665722379605,0.2,Q93WF6,BP
response to light stimulus [GO:0009416],20,4,0.7200141698685749,0.9605665722379605,0.2,Q93WF6/Q9C690/Q9MA55/Q39066,BP
response to oxidative stress [GO:0006979],30,4,0.4075469391692601,0.9605665722379605,0.133,Q93WF6/Q96522/Q9LHA7/Q9SYJ4,BP
response to reactive oxygen species [GO:0000302],2,2,0.9818334167083542,0.9955826624557375,1,Q93WF6/Q6J9S1,BP
response to water deprivation [GO:0009414],34,5,0.506309344335567,0.9605665722379605,0.147,Q93WF6/Q9C690/Q9SM02/Q39084/Q9FNN9,BP
protein N-linked glycosylation [GO:0006487],2,1,0.748166583291646,0.9605665722379605,0.5,Q93Z16,BP
