Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
negative regulation of floral organ abscission [GO:0060862],1,1,0.9,0.9334459459459459,1,Q38847,BP
negative regulation of flower development [GO:0009910],6,1,0.5309974588060002,0.9334459459459459,0.167,Q38847,BP
negative regulation of gene expression [GO:0010629],2,1,0.8099549774887447,0.9334459459459459,0.5,Q38847,BP
negative regulation of seed maturation [GO:2000692],1,1,0.9,0.9334459459459459,1,Q38847,BP
"negative regulation of short-day photoperiodism, flowering [GO:0048577]",2,1,0.8099549774887447,0.9334459459459459,0.5,Q38847,BP
positive regulation of DNA-templated transcription [GO:0045893],33,3,0.34355778599689035,0.9334459459459459,0.091,Q38847/Q94FL7/Q8H181,BP
positive regulation of transcription by RNA polymerase II [GO:0045944],8,2,0.8133290573288844,0.9334459459459459,0.25,Q38847/Q38840,BP
somatic embryogenesis [GO:0010262],4,2,0.9478704121286554,0.9603835528828291,0.5,Q38847/Q9M1R4,BP
carpel development [GO:0048440],2,1,0.8099549774887447,0.9334459459459459,0.5,Q38874,BP
cytokinin biosynthetic process [GO:0009691],5,1,0.5901615210685075,0.9334459459459459,0.2,Q38874,BP
floral meristem determinacy [GO:0010582],2,1,0.8099549774887447,0.9334459459459459,0.5,Q38874,BP
plasmodesmata-mediated intercellular transport [GO:0010497],4,1,0.6558810668445103,0.9334459459459459,0.25,Q38874,BP
regulation of meristem structural organization [GO:0009934],3,1,0.7288784031655469,0.9334459459459459,0.333,Q38874,BP
stem cell population maintenance [GO:0019827],3,1,0.7288784031655469,0.9334459459459459,0.333,Q38874,BP
leaf senescence [GO:0010150],11,2,0.6973575940372536,0.9334459459459459,0.182,Q4VCM1/Q9ZVN2,BP
sterol catabolic process [GO:0016127],1,1,0.9,0.9334459459459459,1,Q4VCM1,BP
iron-sulfur cluster assembly [GO:0016226],6,3,0.9843140850834832,0.9907686036741945,0.5,Q6STH5/Q9FGS4/Q8L8C0,BP
chloroplast organization [GO:0009658],17,1,0.1655092036658724,0.9334459459459459,0.059,Q84JF5,BP
plastid transcription [GO:0042793],1,1,0.9,0.9334459459459459,1,Q84JF5,BP
response to cytokinin [GO:0009735],9,2,0.7750142934319295,0.9334459459459459,0.222,Q84JF5/Q9C9L2,BP
response to light stimulus [GO:0009416],20,3,0.6770723679449336,0.9334459459459459,0.15,Q84JF5/Q9LZK4/Q9MAM3,BP
thylakoid membrane organization [GO:0010027],7,1,0.4777379343520385,0.9334459459459459,0.143,Q84JF5,BP
proteolysis [GO:0006508],44,4,0.3439110234405436,0.9334459459459459,0.091,Q84MB5/Q9C9C0/F4JA91/Q9SRP6,BP
regulation of jasmonic acid metabolic process [GO:0080140],1,1,0.9,0.9334459459459459,1,Q84MB5,BP
photosynthetic electron transport in photosystem I [GO:0009773],2,1,0.8099549774887447,0.9334459459459459,0.5,Q8GYC7,BP
cellular response to abscisic acid stimulus [GO:0071215],5,2,0.9187592499485226,0.9433414372381153,0.4,Q8RWS1/Q9FNA4,BP
cellular response to brassinosteroid stimulus [GO:0071367],2,1,0.8099549774887447,0.9334459459459459,0.5,Q8RWS1,BP
cellular response to ethylene stimulus [GO:0071369],2,1,0.8099549774887447,0.9334459459459459,0.5,Q8RWS1,BP
positive regulation of organ growth [GO:0046622],1,1,0.9,0.9334459459459459,1,Q8RWS1,BP
post-embryonic plant organ development [GO:0090696],1,1,0.9,0.9334459459459459,1,Q8RWS1,BP
regulation of cell division [GO:0051302],8,1,0.42979634535534617,0.9334459459459459,0.125,Q8RWS1,BP
regulation of cell growth [GO:0001558],4,1,0.6558810668445103,0.9334459459459459,0.25,Q8RWS1,BP
regulation of ethylene-activated signaling pathway [GO:0010104],2,1,0.8099549774887447,0.9334459459459459,0.5,Q8RWS1,BP
adenosine catabolic process [GO:0006154],1,1,0.9,0.9334459459459459,1,Q8RY23,BP
inosine catabolic process [GO:0006148],1,1,0.9,0.9334459459459459,1,Q8RY23,BP
response to jasmonic acid [GO:0009753],23,1,0.08738254853157601,0.9334459459459459,0.043,Q8RY23,BP
response to wounding [GO:0009611],24,2,0.2907005673708525,0.9334459459459459,0.083,Q8RY23/Q945Q1,BP
potassium ion transport [GO:0006813],8,1,0.42979634535534617,0.9334459459459459,0.125,Q8S396,BP
regulation of pH [GO:0006885],3,1,0.7288784031655469,0.9334459459459459,0.333,Q8S396,BP
fatty acid elongation [GO:0030497],1,1,0.9,0.9334459459459459,1,Q8VZB2,BP
sphingolipid biosynthetic process [GO:0030148],2,1,0.8099549774887447,0.9334459459459459,0.5,Q8VZB2,BP
very long-chain fatty acid biosynthetic process [GO:0042761],6,2,0.8859818323810424,0.9334459459459459,0.333,Q8VZB2/Q9MAM3,BP
integrin-mediated signaling pathway [GO:0007229],1,1,0.9,0.9334459459459459,1,Q93Z30,BP
regulation of stomatal movement [GO:0010119],7,1,0.4777379343520385,0.9334459459459459,0.143,Q93Z30,BP
response to blue light [GO:0009637],3,1,0.7288784031655469,0.9334459459459459,0.333,Q93Z30,BP
melatonin metabolic process [GO:0030186],1,1,0.9,0.9334459459459459,1,Q941D6,BP
protein deacetylation [GO:0006476],1,1,0.9,0.9334459459459459,1,Q941D6,BP
"regulation of photosynthesis, light reaction [GO:0042548]",2,1,0.8099549774887447,0.9334459459459459,0.5,Q941D6,BP
tubulin deacetylation [GO:0090042],1,1,0.9,0.9334459459459459,1,Q941D6,BP
positive regulation of flower development [GO:0009911],2,1,0.8099549774887447,0.9334459459459459,0.5,Q944Q0,BP
protein autophosphorylation [GO:0046777],11,1,0.31284964745029664,0.9334459459459459,0.091,Q944Q0,BP
regulation of flower development [GO:0009909],9,2,0.7750142934319295,0.9334459459459459,0.222,Q944Q0/Q8L8S2,BP
vegetative to reproductive phase transition of meristem [GO:0010228],7,1,0.4777379343520385,0.9334459459459459,0.143,Q944Q0,BP
isocitrate metabolic process [GO:0006102],2,1,0.8099549774887447,0.9334459459459459,0.5,Q945K7,BP
defense response to bacterium [GO:0042742],37,4,0.48521000525063473,0.9334459459459459,0.108,Q945P1/Q9LDH1/Q9LNN7/Q9SKD9,BP
stomatal closure [GO:0090332],2,1,0.8099549774887447,0.9334459459459459,0.5,Q945P1,BP
glucosinolate biosynthetic process [GO:0019761],5,1,0.5901615210685075,0.9334459459459459,0.2,Q949U1,BP
response to insect [GO:0009625],5,1,0.5901615210685075,0.9334459459459459,0.2,Q949U1,BP
DNA duplex unwinding [GO:0032508],1,1,0.9,0.9334459459459459,1,Q94C69,BP
unidimensional cell growth [GO:0009826],13,3,0.8667190357284464,0.9334459459459459,0.231,Q94C69/Q9SJW3/Q9T041,BP
protein insertion into mitochondrial inner membrane [GO:0045039],2,1,0.8099549774887447,0.9334459459459459,0.5,Q94EH2,BP
protein targeting to chloroplast [GO:0045036],3,1,0.7288784031655469,0.9334459459459459,0.333,Q94EH2,BP
DNA methylation-dependent heterochromatin formation [GO:0006346],4,1,0.6558810668445103,0.9334459459459459,0.25,Q94F88,BP
"negative regulation of gene expression, epigenetic [GO:0045814]",6,1,0.5309974588060002,0.9334459459459459,0.167,Q94F88,BP
zygote asymmetric cytokinesis in embryo sac [GO:0010069],1,1,0.9,0.9334459459459459,1,Q94F88,BP
pollen sperm cell differentiation [GO:0048235],5,1,0.5901615210685075,0.9334459459459459,0.2,Q94FL7,BP
pollen tube growth [GO:0009860],17,2,0.48094154249096577,0.9334459459459459,0.118,Q94FL7/Q6NMI3,BP
regulation of gene expression [GO:0010468],12,2,0.6588874676567587,0.9334459459459459,0.167,Q94FL7/Q9FFG0,BP
regulation of pollen tube growth [GO:0080092],4,1,0.6558810668445103,0.9334459459459459,0.25,Q94FL7,BP
signal peptide processing [GO:0006465],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9C9C0,BP
cell division [GO:0051301],32,4,0.6001192880041479,0.9334459459459459,0.125,Q9C9L2/Q9FNA4/Q39071/Q9SZ06,BP
circadian rhythm [GO:0007623],11,1,0.31284964745029664,0.9334459459459459,0.091,Q9C9L2,BP
DNA endoreduplication [GO:0042023],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9C9L2,BP
gynoecium development [GO:0048467],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9C9L2,BP
inflorescence development [GO:0010229],1,1,0.9,0.9334459459459459,1,Q9C9L2,BP
regulation of anthocyanin biosynthetic process [GO:0031540],1,1,0.9,0.9334459459459459,1,Q9C9L2,BP
regulation of DNA-templated transcription [GO:0006355],82,7,0.2708058473774235,0.9334459459459459,0.085,Q9C9L2/Q9SKD9/P49592/Q8H181/Q9C8N7/Q9SVU7/Q944S3,BP
stamen filament development [GO:0080086],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9C9L2,BP
cell wall organization [GO:0071555],36,4,0.5074911098567563,0.9334459459459459,0.111,Q9C9X0/Q8L9A9/Q8RXE1/O49323,BP
cytoskeleton organization [GO:0007010],1,1,0.9,0.9334459459459459,1,Q9C9X0,BP
plant-type cell wall biogenesis [GO:0009832],4,1,0.6558810668445103,0.9334459459459459,0.25,Q9C9X0,BP
xylem and phloem pattern formation [GO:0010051],4,1,0.6558810668445103,0.9334459459459459,0.25,Q9C9X0,BP
oxidative photosynthetic carbon pathway [GO:0009854],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9CA90,BP
meiotic attachment of telomere to nuclear envelope [GO:0070197],1,1,0.9,0.9334459459459459,1,Q9FF75,BP
nucleus organization [GO:0006997],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9FF75,BP
protein heterooligomerization [GO:0051291],1,1,0.9,0.9334459459459459,1,Q9FF75,BP
protein homooligomerization [GO:0051260],7,2,0.8505546055297721,0.9334459459459459,0.286,Q9FF75/O65555,BP
protein localization to nuclear envelope [GO:0090435],1,1,0.9,0.9334459459459459,1,Q9FF75,BP
regulation of establishment or maintenance of cell polarity regulating cell shape [GO:2000769],1,1,0.9,0.9334459459459459,1,Q9FF75,BP
aerobic respiration [GO:0009060],1,1,0.9,0.9334459459459459,1,Q9FGS4,BP
NAD biosynthetic process [GO:0009435],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9FGS4,BP
positive regulation of sulfur metabolic process [GO:0051176],1,1,0.9,0.9334459459459459,1,Q9FGS4,BP
chloroplast fission [GO:0010020],4,1,0.6558810668445103,0.9334459459459459,0.25,Q9FK13,BP
response to gibberellin [GO:0009739],12,1,0.28139166379516367,0.9334459459459459,0.083,Q9FK13,BP
blue light signaling pathway [GO:0009785],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FN02,BP
"red, far-red light phototransduction [GO:0009585]",8,2,0.8133290573288844,0.9334459459459459,0.25,Q9FN02/Q9LDL7,BP
5-carbamoylmethyl uridine residue modification [GO:0080178],1,1,0.9,0.9334459459459459,1,Q9FNA4,BP
fruit morphogenesis [GO:0048530],1,1,0.9,0.9334459459459459,1,Q9FNA4,BP
leaf morphogenesis [GO:0009965],7,1,0.4777379343520385,0.9334459459459459,0.143,Q9FNA4,BP
negative regulation of anthocyanin metabolic process [GO:0031538],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FNA4,BP
organ growth [GO:0035265],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FNA4,BP
positive regulation of cell population proliferation [GO:0008284],6,1,0.5309974588060002,0.9334459459459459,0.167,Q9FNA4,BP
regulation of leaf development [GO:2000024],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FNA4,BP
tRNA modification [GO:0006400],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FNA4,BP
tRNA wobble uridine modification [GO:0002098],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9FNA4,BP
cellular response to light stimulus [GO:0071482],5,1,0.5901615210685075,0.9334459459459459,0.2,Q9LDH1,BP
positive regulation of DNA-binding transcription factor activity [GO:0051091],1,1,0.9,0.9334459459459459,1,Q9LDH1,BP
pollen-stigma interaction [GO:0140301],2,2,0.9900450225112556,0.9932804637612923,1,Q9LFL6/Q1PDG8,BP
jasmonic acid mediated signaling pathway [GO:0009867],13,1,0.2530826432926323,0.9334459459459459,0.077,Q9LNN7,BP
regulation of jasmonic acid biosynthetic process [GO:0080141],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9LNN7,BP
regulation of salicylic acid biosynthetic process [GO:0080142],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9LNN7,BP
response to ozone [GO:0010193],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9LNN7,BP
salicylic acid mediated signaling pathway [GO:0009863],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9LNN7,BP
seed development [GO:0048316],9,1,0.38664410184577314,0.9334459459459459,0.111,Q9LNN7,BP
flavonol biosynthetic process [GO:0051555],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9LZK4,BP
negative regulation of cell population proliferation [GO:0008285],5,1,0.5901615210685075,0.9334459459459459,0.2,Q9LZK4,BP
negative regulation of developmental growth [GO:0048640],1,1,0.9,0.9334459459459459,1,Q9LZK4,BP
positive regulation of flavonol biosynthetic process [GO:1900386],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9LZK4,BP
response to UV-B [GO:0010224],9,2,0.7750142934319295,0.9334459459459459,0.222,Q9LZK4/Q9SBB2,BP
cell surface receptor signaling pathway [GO:0007166],7,1,0.4777379343520385,0.9334459459459459,0.143,Q9M092,BP
root development [GO:0048364],22,1,0.09721185657787246,0.9334459459459459,0.045,Q9M1R4,BP
cellular response to cold [GO:0070417],7,2,0.8505546055297721,0.9334459459459459,0.286,Q9MAM3/Q945Q1,BP
wax biosynthetic process [GO:0010025],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9MAM3,BP
anisotropic cell growth [GO:0051211],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9SJW3,BP
cellular response to salt stress [GO:0071472],4,2,0.9478704121286554,0.9603835528828291,0.5,Q9SJW3/Q9SRV1,BP
cortical microtubule organization [GO:0043622],6,1,0.5309974588060002,0.9334459459459459,0.167,Q9SJW3,BP
brassinosteroid mediated signaling pathway [GO:0009742],12,1,0.28139166379516367,0.9334459459459459,0.083,Q9SKD9,BP
cellular response to hypoxia [GO:0071456],24,1,0.0785426346689988,0.9334459459459459,0.042,Q9SKD9,BP
lateral root development [GO:0048527],9,1,0.38664410184577314,0.9334459459459459,0.111,Q9SKD9,BP
regulation of brassinosteroid mediated signaling pathway [GO:1900457],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9SKD9,BP
regulation of jasmonic acid mediated signaling pathway [GO:2000022],5,1,0.5901615210685075,0.9334459459459459,0.2,Q9SKD9,BP
response to bacterium [GO:0009617],16,3,0.7897875960517076,0.9334459459459459,0.188,Q9SKD9/O48711/Q9FKM2,BP
response to salicylic acid [GO:0009751],14,1,0.22760879897530628,0.9334459459459459,0.071,Q9SKD9,BP
folic acid-containing compound metabolic process [GO:0006760],1,1,0.9,0.9334459459459459,1,Q9SY73,BP
circumnutation [GO:0010031],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9T041,BP
lipid catabolic process [GO:0016042],21,2,0.3633040717617857,0.9334459459459459,0.095,Q9T051/Q9SF94,BP
membrane lipid metabolic process [GO:0006643],1,1,0.9,0.9334459459459459,1,Q9T051,BP
phosphatidylcholine metabolic process [GO:0046470],1,1,0.9,0.9334459459459459,1,Q9T051,BP
protein import into peroxisome matrix [GO:0016558],1,1,0.9,0.9334459459459459,1,Q9XF57,BP
protein targeting to peroxisome [GO:0006625],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9XF57,BP
hyperosmotic response [GO:0006972],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9XGM8,BP
N-glycan processing [GO:0006491],1,1,0.9,0.9334459459459459,1,Q9XGM8,BP
protein glycosylation [GO:0006486],8,2,0.8133290573288844,0.9334459459459459,0.25,Q9XGM8/Q8LED0,BP
innate immune response [GO:0045087],14,1,0.22760879897530628,0.9334459459459459,0.071,Q9ZUU4,BP
mRNA processing [GO:0006397],23,2,0.31345663359639575,0.9334459459459459,0.087,Q9ZUU4/Q6ICX4,BP
phytol metabolic process [GO:0033306],1,1,0.9,0.9334459459459459,1,Q9ZVN2,BP
plant organ senescence [GO:0090693],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9ZVN2,BP
regulation of phytol biosynthetic process [GO:1904963],1,1,0.9,0.9334459459459459,1,Q9ZVN2,BP
regulation of triglyceride biosynthetic process [GO:0010866],1,1,0.9,0.9334459459459459,1,Q9ZVN2,BP
triglyceride biosynthetic process [GO:0019432],4,1,0.6558810668445103,0.9334459459459459,0.25,Q9ZVN2,BP
glucosinolate metabolic process [GO:0019760],2,1,0.8099549774887447,0.9334459459459459,0.5,C0SUW7,BP
regulation of transcription by RNA polymerase II [GO:0006357],9,1,0.38664410184577314,0.9334459459459459,0.111,C0SUW7,BP
regulation of secondary cell wall biogenesis [GO:2000652],2,1,0.8099549774887447,0.9334459459459459,0.5,F4HNU8,BP
tRNA 3'-end processing [GO:0042780],2,1,0.8099549774887447,0.9334459459459459,0.5,F4J1H7,BP
sucrose biosynthetic process [GO:0005986],2,1,0.8099549774887447,0.9334459459459459,0.5,F4JLK2,BP
defense response to other organism [GO:0098542],8,1,0.42979634535534617,0.9334459459459459,0.125,O04533,BP
DNA repair [GO:0006281],18,1,0.14881639442070116,0.9334459459459459,0.056,O23184,BP
phosphate-containing compound metabolic process [GO:0006796],2,1,0.8099549774887447,0.9334459459459459,0.5,O23244,BP
cell wall modification [GO:0042545],7,1,0.4777379343520385,0.9334459459459459,0.143,O48711,BP
pectin catabolic process [GO:0045490],12,1,0.28139166379516367,0.9334459459459459,0.083,O48711,BP
actin filament bundle assembly [GO:0051017],2,1,0.8099549774887447,0.9334459459459459,0.5,O49606,BP
actin filament depolymerization [GO:0030042],2,1,0.8099549774887447,0.9334459459459459,0.5,O49606,BP
actin filament polymerization [GO:0030041],2,1,0.8099549774887447,0.9334459459459459,0.5,O49606,BP
sterol biosynthetic process [GO:0016126],8,1,0.42979634535534617,0.9334459459459459,0.125,O64697,BP
phospholipid biosynthetic process [GO:0008654],3,1,0.7288784031655469,0.9334459459459459,0.333,O82359,BP
phosphorylation [GO:0016310],22,1,0.09721185657787246,0.9334459459459459,0.045,O82359,BP
phytosphingosine metabolic process [GO:0006671],1,1,0.9,0.9334459459459459,1,O82359,BP
mitotic cell cycle phase transition [GO:0044772],2,1,0.8099549774887447,0.9334459459459459,0.5,Q39071,BP
protein processing [GO:0016485],3,1,0.7288784031655469,0.9334459459459459,0.333,Q56Y85,BP
cell wall biogenesis [GO:0042546],12,1,0.28139166379516367,0.9334459459459459,0.083,Q8L9A9,BP
xyloglucan metabolic process [GO:0010411],8,1,0.42979634535534617,0.9334459459459459,0.125,Q8L9A9,BP
pectin biosynthetic process [GO:0045489],3,1,0.7288784031655469,0.9334459459459459,0.333,Q8RXE1,BP
pollen development [GO:0009555],27,1,0.05701632366087872,0.9334459459459459,0.037,Q8VZJ9,BP
protein maturation by copper ion transfer [GO:0015680],1,1,0.9,0.9334459459459459,1,Q93VM8,BP
cellular response to heat [GO:0034605],6,1,0.5309974588060002,0.9334459459459459,0.167,Q945Q1,BP
cellular response to water deprivation [GO:0042631],7,2,0.8505546055297721,0.9334459459459459,0.286,Q945Q1/Q9SRV1,BP
negative regulation of peptidase activity [GO:0010466],3,1,0.7288784031655469,0.9334459459459459,0.333,Q945Q1,BP
mitochondrial fission [GO:0000266],1,1,0.9,0.9334459459459459,1,Q94CK3,BP
peroxisome fission [GO:0016559],2,1,0.8099549774887447,0.9334459459459459,0.5,Q94CK3,BP
phenylalanyl-tRNA aminoacylation [GO:0006432],2,1,0.8099549774887447,0.9334459459459459,0.5,Q94K73,BP
hydrogen peroxide catabolic process [GO:0042744],9,1,0.38664410184577314,0.9334459459459459,0.111,Q96519,BP
rhythmic process [GO:0048511],4,1,0.6558810668445103,0.9334459459459459,0.25,Q96519,BP
cell plate assembly [GO:0000919],1,1,0.9,0.9334459459459459,1,Q9FY61,BP
cytokinesis by cell plate formation [GO:0000911],6,1,0.5309974588060002,0.9334459459459459,0.167,Q9FY61,BP
lipid transport [GO:0006869],9,1,0.38664410184577314,0.9334459459459459,0.111,Q9FY78,BP
callus formation [GO:1990110],1,1,0.9,0.9334459459459459,1,Q9LDL7,BP
photomorphogenesis [GO:0009640],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9LDL7,BP
mucilage biosynthetic process involved in seed coat development [GO:0048354],3,1,0.7288784031655469,0.9334459459459459,0.333,Q9LPU2,BP
leaf development [GO:0048366],12,1,0.28139166379516367,0.9334459459459459,0.083,Q9LQN6,BP
protein dephosphorylation [GO:0006470],13,2,0.6210999098255428,0.9334459459459459,0.154,Q9LQN6/O81716,BP
fructose 6-phosphate metabolic process [GO:0006002],4,1,0.6558810668445103,0.9334459459459459,0.25,Q9M0F9,BP
glycolytic process [GO:0006096],8,2,0.8133290573288844,0.9334459459459459,0.25,Q9M0F9/Q9LM13,BP
chlorophyll catabolic process [GO:0015996],1,1,0.9,0.9334459459459459,1,Q9SBB2,BP
cytochrome complex assembly [GO:0017004],2,1,0.8099549774887447,0.9334459459459459,0.5,Q9SBB2,BP
