Pathway,proteincounts.per.pahtway.all,counts,p_value,FDR,Enrich_factor,hited.proteins,Type
regulation of abscisic acid-activated signaling pathway [GO:0009787],7,3,0.7871886959105686,0.8817733841788927,0.429,F4JNX3/O24646/Q9FNA4,BP
regulation of auxin mediated signaling pathway [GO:0010928],6,4,0.9699775849533898,0.9767370106325075,0.667,F4JNX3/Q8W2F3/Q9FNA4/Q9SZ06,BP
regulation of response to salt stress [GO:1901000],2,1,0.5851350675337672,0.8619298245614037,0.5,F4JNX3,BP
regulation of response to water deprivation [GO:2000070],4,3,0.9574021305112264,0.9691391093441135,0.75,F4JNX3/Q8RWS1/Q9SKD9,BP
regulation of root development [GO:2000280],6,1,0.19997048932111194,0.8619298245614037,0.167,F4JNX3,BP
response to abscisic acid [GO:0009737],43,12,0.701785713414064,0.8619298245614037,0.279,F4JNX3/O24646/Q8GXW1/Q93WF6/Q9C690/Q9FNA4/Q9SLD2/Q9ZUU4/O04036/Q39084/Q9FNN9/Q9SCM4,BP
response to auxin [GO:0009733],41,6,0.05513198621743565,0.8619298245614037,0.146,F4JNX3/Q8W2F3/Q9M1R4/F4JF14/Q8W4K5/Q9FJF6,BP
response to cold [GO:0009409],45,14,0.8506877227238594,0.9205666310621526,0.311,F4JNX3/O24646/P42644/P92947/Q8W2F3/Q93WF6/Q93Z16/Q94C69/Q9MAM3/Q9SLD2/Q9ZUU4/O82359/O04036/Q39084,BP
response to heat [GO:0009408],15,4,0.5160159805425151,0.8619298245614037,0.267,F4JNX3/Q8W2F3/Q9FN02/Q8VYJ7,BP
response to oomycetes [GO:0002239],2,2,0.9448649324662332,0.961499878460357,1,F4JNX3/O81816,BP
response to osmotic stress [GO:0006970],11,4,0.7541221706636753,0.8619298245614037,0.364,F4JNX3/O82289/Q9C690/Q9SRV1,BP
response to salt [GO:1902074],7,4,0.9427856087861533,0.961499878460357,0.571,F4JNX3/Q8W2F3/Q93WF6/Q9C690,BP
response to salt stress [GO:0009651],38,7,0.17483533385473682,0.8619298245614037,0.184,F4JNX3/O04529/O82289/Q8GWH3/Q9SLD2/O04036/Q9SCM4,BP
root hair cell development [GO:0080147],5,3,0.9119253360481759,0.956611332551444,0.6,F4JNX3/O81417/Q9LVP9,BP
rRNA processing [GO:0006364],9,2,0.3372468254274641,0.8619298245614037,0.222,F4JXF1/Q9ZW76,BP
tRNA processing [GO:0008033],1,1,0.7650000000000001,0.8619298245614037,1,F4JXF1,BP
seedling development [GO:0090351],5,1,0.26160073848893006,0.8619298245614037,0.2,F4JZG9,BP
thylakoid membrane organization [GO:0010027],7,2,0.4827772996950015,0.8619298245614037,0.286,F4JZG9/Q84JF5,BP
regulation of root meristem growth [GO:0010082],6,1,0.19997048932111194,0.8619298245614037,0.167,F4KHI3,BP
signal transduction [GO:0007165],17,4,0.4073270713395418,0.8619298245614037,0.235,F4KHI3/P82628/P82637/P82643,BP
defense response to fungus [GO:0050832],57,13,0.39800756722335984,0.8619298245614037,0.228,O04529/Q1JPL7/Q949S9/Q9ZUJ5/Q9SZ06/P82628/P82637/P82643/P82762/Q2V392/Q2V468/Q56XB0/Q94JR6,BP
developmental vegetative growth [GO:0080186],2,1,0.5851350675337672,0.8619298245614037,0.5,O04529,BP
negative regulation of leaf senescence [GO:1900056],3,2,0.8604238380451487,0.9205666310621526,0.667,O04529/Q9LSD5,BP
proteolysis [GO:0006508],44,8,0.152985252095159,0.8619298245614037,0.182,O04529/Q84MB5/Q9C9C0/Q9ZUJ5/F4JA91/Q8S9J6/Q9SRP6/Q93VG8,BP
"regulation of photoperiodism, flowering [GO:2000028]",14,4,0.5745352174620214,0.8619298245614037,0.286,O04529/Q93WF6/Q9C690/Q9M0R0,BP
response to cadmium ion [GO:0046686],6,2,0.5697519843280208,0.8619298245614037,0.333,O04529/O82089,BP
response to jasmonic acid [GO:0009753],23,5,0.3408228565941003,0.8619298245614037,0.217,O04529/Q84P21/Q8RY23/Q9MA55/Q9FWW6,BP
defense response to bacterium [GO:0042742],37,9,0.48309825900207626,0.8619298245614037,0.243,O22446/P27323/Q945P1/Q949S9/Q9LDH1/Q9LNN7/Q9SKD9/O65483/Q9FM96,BP
DNA-mediated transformation [GO:0009294],3,1,0.44749068227807576,0.8619298245614037,0.333,O22446,BP
jasmonic acid and ethylene-dependent systemic resistance [GO:0009861],1,1,0.7650000000000001,0.8619298245614037,1,O22446,BP
negative regulation of DNA-templated transcription [GO:0045892],19,5,0.526901448668183,0.8619298245614037,0.263,O22446/Q0WX00/Q38847/F4HNU8/Q9SMM8,BP
negative regulation of response to salt stress [GO:1901001],4,1,0.3421723945110777,0.8619298245614037,0.25,O22446,BP
positive regulation of stem cell population maintenance [GO:1902459],2,1,0.5851350675337672,0.8619298245614037,0.5,O22446,BP
regulation of multicellular organismal development [GO:2000026],1,1,0.7650000000000001,0.8619298245614037,1,O22446,BP
gibberellic acid mediated signaling pathway [GO:0009740],8,4,0.9063261214239364,0.956611332551444,0.5,O24646/Q8GXW1/Q9FG05/O80641,BP
positive gravitropism [GO:0009958],5,2,0.6644590185996676,0.8619298245614037,0.4,O24646/Q8L796,BP
positive regulation of anthocyanin metabolic process [GO:0031539],1,1,0.7650000000000001,0.8619298245614037,1,O24646,BP
positive regulation of circadian rhythm [GO:0042753],2,1,0.5851350675337672,0.8619298245614037,0.5,O24646,BP
positive regulation of flavonoid biosynthetic process [GO:0009963],1,1,0.7650000000000001,0.8619298245614037,1,O24646,BP
positive regulation of transcription by RNA polymerase II [GO:0045944],8,3,0.7157062406025481,0.8619298245614037,0.375,O24646/Q38847/Q38840,BP
red or far-red light signaling pathway [GO:0010017],3,2,0.8604238380451487,0.9205666310621526,0.667,O24646/Q8W2F3,BP
"red, far-red light phototransduction [GO:0009585]",8,4,0.9063261214239364,0.956611332551444,0.5,O24646/Q8W2F3/Q9FN02/Q9LDL7,BP
regulation of photomorphogenesis [GO:0010099],1,1,0.7650000000000001,0.8619298245614037,1,O24646,BP
response to far red light [GO:0010218],7,1,0.15283602092546367,0.8619298245614037,0.143,O24646,BP
response to red light [GO:0010114],3,1,0.44749068227807576,0.8619298245614037,0.333,O24646,BP
response to UV-B [GO:0010224],9,4,0.8616376252675166,0.9205666310621526,0.444,O24646/Q9LXD7/Q9LZK4/Q9SBB2,BP
[2Fe-2S] cluster assembly [GO:0044571],1,1,0.7650000000000001,0.8619298245614037,1,O49543,BP
iron-sulfur cluster assembly [GO:0016226],6,4,0.9699775849533898,0.9767370106325075,0.667,O49543/Q6STH5/Q9FGS4/Q8L8C0,BP
chromatin organization [GO:0006325],10,3,0.5709318781091713,0.8619298245614037,0.3,O49596/Q0WX00/F4K4Y5,BP
intracellular signal transduction [GO:0035556],3,1,0.44749068227807576,0.8619298245614037,0.333,O49717,BP
protein phosphorylation [GO:0006468],87,22,0.6148097709874281,0.8619298245614037,0.253,O49717/O49840/Q06850/Q38870/Q93Z30/Q944Q0/Q9LFL6/Q9M092/F4KA50/O04533/O23081/O65483/O81292/Q6R2K2/Q84M95/Q8VZJ9/Q94C77/Q9FID9/Q9LPZ3/Q9SLI2/Q3EBR4/Q9STK6,BP
cytidine catabolic process [GO:0006216],1,1,0.7650000000000001,0.8619298245614037,1,O65896,BP
cytidine deamination [GO:0009972],2,1,0.5851350675337672,0.8619298245614037,0.5,O65896,BP
cellular response to phosphate starvation [GO:0016036],4,3,0.9574021305112264,0.9691391093441135,0.75,O81417/P42644/Q9SIV9,BP
heat acclimation [GO:0010286],4,1,0.3421723945110777,0.8619298245614037,0.25,O81417,BP
plant-type cell wall biogenesis [GO:0009832],4,3,0.9574021305112264,0.9691391093441135,0.75,O81417/Q0WPN7/Q9C9X0,BP
response to ethylene [GO:0009723],16,8,0.9815568323436279,0.9849650157892655,0.5,O81417/Q8W2F3/Q93WF6/Q9MA55/Q9SM02/A0A1P8B554/Q6J9S1/Q8S8C6,BP
response to low humidity [GO:0090547],2,1,0.5851350675337672,0.8619298245614037,0.5,O81417,BP
seed development [GO:0048316],9,3,0.6427405482700633,0.8619298245614037,0.333,O81417/Q7XJU0/Q9LNN7,BP
unidimensional cell growth [GO:0009826],13,5,0.8308148277908816,0.9205666310621526,0.385,O81417/Q7DMA9/Q94C69/Q9SJW3/Q9T041,BP
protein import into chloroplast stroma [GO:0045037],3,1,0.44749068227807576,0.8619298245614037,0.333,O82230,BP
maintenance of shoot apical meristem identity [GO:0010492],4,4,0.996979929398625,0.996979929398625,1,O82268/P84634/Q0WX00/Q8VZS9,BP
mRNA transcription [GO:0009299],1,1,0.7650000000000001,0.8619298245614037,1,O82268,BP
petal development [GO:0048441],2,1,0.5851350675337672,0.8619298245614037,0.5,O82268,BP
post-embryonic plant morphogenesis [GO:0090698],1,1,0.7650000000000001,0.8619298245614037,1,O82268,BP
specification of petal number [GO:0048834],1,1,0.7650000000000001,0.8619298245614037,1,O82268,BP
embryo development ending in seed dormancy [GO:0009793],28,7,0.50144039066739865,0.8619298245614037,0.25,O82289/Q38847/Q6X7J5/Q7DMA9/Q9LNC5/Q9SLD2/Q9M160,BP
lateral root morphogenesis [GO:0010102],3,1,0.44749068227807576,0.8619298245614037,0.333,O82289,BP
"photoperiodism, flowering [GO:0048573]",5,3,0.9119253360481759,0.956611332551444,0.6,O82289/Q944Q0/Q9C690,BP
response to oxidative stress [GO:0006979],30,8,0.5913223465464091,0.8619298245614037,0.267,O82289/Q93WF6/Q9FNA4/Q9T051/Q96519/Q96522/Q9LHA7/Q9SYJ4,BP
cellular response to heat [GO:0034605],6,2,0.5697519843280208,0.8619298245614037,0.333,P27323/Q945Q1,BP
chaperone-mediated protein folding [GO:0061077],4,1,0.3421723945110777,0.8619298245614037,0.25,P27323,BP
innate immune response [GO:0045087],14,3,0.32567182448099385,0.8619298245614037,0.214,P27323/Q949S9/Q9ZUU4,BP
protein folding [GO:0006457],6,1,0.19997048932111194,0.8619298245614037,0.167,P27323,BP
protein stabilization [GO:0050821],1,1,0.7650000000000001,0.8619298245614037,1,P27323,BP
protein transport [GO:0015031],60,11,0.13114680656408761,0.8619298245614037,0.183,P31582/Q0WQ75/Q8VY92/Q93Y31/F4JN05/Q6NMI3/Q8S8D3/Q93ZE9/Q9FE79/O49513/Q9FVV6,BP
vacuolar transport [GO:0007034],6,2,0.5697519843280208,0.8619298245614037,0.333,P31582/Q0WQ75,BP
cellular response to nitrogen starvation [GO:0006995],6,2,0.5697519843280208,0.8619298245614037,0.333,P42644/Q9ZVN2,BP
cellular response to potassium ion starvation [GO:0051365],1,1,0.7650000000000001,0.8619298245614037,1,P42644,BP
cold acclimation [GO:0009631],10,4,0.8102941119788122,0.90240847152939,0.4,P42644/Q94C69/Q9LVM5/Q39084,BP
regulation of metabolic process [GO:0019222],1,1,0.7650000000000001,0.8619298245614037,1,P42644,BP
response to freezing [GO:0050826],1,1,0.7650000000000001,0.8619298245614037,1,P42644,BP
coenzyme A metabolic process [GO:0015936],1,1,0.7650000000000001,0.8619298245614037,1,P43256,BP
isoprenoid biosynthetic process [GO:0008299],5,3,0.9119253360481759,0.956611332551444,0.6,P43256/Q8S4Y1/Q8S948,BP
sterol biosynthetic process [GO:0016126],8,3,0.7157062406025481,0.8619298245614037,0.375,P43256/Q9SM02/O64697,BP
triterpenoid biosynthetic process [GO:0016104],2,1,0.5851350675337672,0.8619298245614037,0.5,P43256,BP
defense response to virus [GO:0051607],7,1,0.15283602092546367,0.8619298245614037,0.143,P84634,BP
DNA-templated transcription termination [GO:0006353],2,1,0.5851350675337672,0.8619298245614037,0.5,P84634,BP
lsiRNA processing [GO:0010599],1,1,0.7650000000000001,0.8619298245614037,1,P84634,BP
polarity specification of adaxial/abaxial axis [GO:0009944],1,1,0.7650000000000001,0.8619298245614037,1,P84634,BP
reproductive structure development [GO:0048608],3,1,0.44749068227807576,0.8619298245614037,0.333,P84634,BP
RNAi-mediated antiviral immune response [GO:0009616],2,1,0.5851350675337672,0.8619298245614037,0.5,P84634,BP
RNAi-mediated antiviral immunity against RNA virus [GO:0051214],2,1,0.5851350675337672,0.8619298245614037,0.5,P84634,BP
ta-siRNA processing [GO:0010267],3,1,0.44749068227807576,0.8619298245614037,0.333,P84634,BP
vegetative phase change [GO:0010050],1,1,0.7650000000000001,0.8619298245614037,1,P84634,BP
fumarate metabolic process [GO:0006106],1,1,0.7650000000000001,0.8619298245614037,1,P93033,BP
malate metabolic process [GO:0006108],1,1,0.7650000000000001,0.8619298245614037,1,P93033,BP
pollen tube development [GO:0048868],5,1,0.26160073848893006,0.8619298245614037,0.2,P93033,BP
protein tetramerization [GO:0051262],2,2,0.9448649324662332,0.961499878460357,1,P93033/Q9LVM5,BP
tricarboxylic acid cycle [GO:0006099],4,2,0.763445545579071,0.8619298245614037,0.5,P93033/Q945K7,BP
protein autophosphorylation [GO:0046777],11,2,0.22917890533610485,0.8619298245614037,0.182,Q06850/Q944Q0,BP
regulation of leaf senescence [GO:1900055],3,3,0.9870854796767753,0.9887961997455392,1,Q06850/Q93WF6/F4HRS2,BP
anastral spindle assembly involved in male meiosis [GO:0009971],1,1,0.7650000000000001,0.8619298245614037,1,Q07970,BP
cell division [GO:0051301],32,7,0.3455940033845273,0.8619298245614037,0.219,Q07970/Q8VZS9/Q9C9L2/Q9FNA4/Q39071/Q93Y31/Q9SZ06,BP
microtubule-based movement [GO:0007018],12,5,0.872403786155441,0.9303494250882747,0.417,Q07970/Q0WN69/Q8W5R6/Q9LZU5/Q9SJU0,BP
carbon utilization [GO:0015976],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
homogalacturonan metabolic process [GO:0010394],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
leaf morphogenesis [GO:0009965],7,2,0.4827772996950015,0.8619298245614037,0.286,Q0WPN7/Q9FNA4,BP
pectin biosynthetic process [GO:0045489],3,2,0.8604238380451487,0.9205666310621526,0.667,Q0WPN7/Q8RXE1,BP
pectin metabolic process [GO:0045488],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
plant-type cell wall organization [GO:0009664],6,3,0.8538730871429621,0.9205666310621526,0.5,Q0WPN7/Q9LVP9/Q9LZN0,BP
positive regulation of developmental growth [GO:0048639],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
positive regulation of photosynthesis [GO:1905157],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
positive regulation of respiratory gaseous exchange [GO:1903942],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
positive regulation of unidimensional cell growth [GO:0051512],1,1,0.7650000000000001,0.8619298245614037,1,Q0WPN7,BP
autophagy [GO:0006914],8,1,0.11679340685874628,0.8619298245614037,0.125,Q0WQ75,BP
endocytic recycling [GO:0032456],1,1,0.7650000000000001,0.8619298245614037,1,Q0WQ75,BP
Golgi organization [GO:0007030],4,2,0.763445545579071,0.8619298245614037,0.5,Q0WQ75/Q6NMI3,BP
Golgi vesicle transport [GO:0048193],3,2,0.8604238380451487,0.9205666310621526,0.667,Q0WQ75/Q8S2T0,BP
leaf vascular tissue pattern formation [GO:0010305],7,4,0.9427856087861533,0.961499878460357,0.571,Q0WQ75/Q9LFU0/Q8W4K5/Q9SIH2,BP
lipid transport [GO:0006869],9,4,0.8616376252675166,0.9205666310621526,0.444,Q0WQ75/Q9MA55/Q9FY78/Q8L751,BP
lysosomal transport [GO:0007041],1,1,0.7650000000000001,0.8619298245614037,1,Q0WQ75,BP
"retrograde transport, endosome to Golgi [GO:0042147]",2,1,0.5851350675337672,0.8619298245614037,0.5,Q0WQ75,BP
vesicle-mediated transport [GO:0016192],19,6,0.7237692964328544,0.8619298245614037,0.316,Q0WQ75/Q8VY92/Q9SIY7/Q9CAA0/Q9FZ63/Q8GWC3,BP
cell fate determination [GO:0001709],1,1,0.7650000000000001,0.8619298245614037,1,Q0WX00,BP
maintenance of floral meristem identity [GO:0010076],1,1,0.7650000000000001,0.8619298245614037,1,Q0WX00,BP
maintenance of inflorescence meristem identity [GO:0010077],1,1,0.7650000000000001,0.8619298245614037,1,Q0WX00,BP
protein ubiquitination [GO:0016567],68,15,0.3407820923148652,0.8619298245614037,0.221,Q0WX00/Q8VZS9/Q9LFU0/Q500V2/Q9C9A6/Q9SRV1/F4HPP7/Q3EBZ2/Q84TF5/Q8GW10/Q8GY87/Q9C7R6/O65555/Q9LRQ1/Q9LYW0,BP
cell wall modification [GO:0042545],7,2,0.4827772996950015,0.8619298245614037,0.286,Q1JPL7/O48711,BP
killing of cells of another organism [GO:0031640],31,9,0.7070503934751128,0.8619298245614037,0.29,Q1JPL7/P82628/P82637/P82643/P82762/Q2V392/Q2V468/Q56XB0/Q94JR6,BP
negative regulation of translation [GO:0017148],1,1,0.7650000000000001,0.8619298245614037,1,Q1JPL7,BP
pectin catabolic process [GO:0045490],12,4,0.6949813629177926,0.8619298245614037,0.333,Q1JPL7/O48711/Q9LFP5/Q9SVQ6,BP
response to bacterium [GO:0009617],16,8,0.9815568323436279,0.9849650157892655,0.5,Q1JPL7/Q84P21/Q9SKD9/A0A1P8B554/F4J270/O48711/Q9FKM2/Q39066,BP
anther development [GO:0048653],6,2,0.5697519843280208,0.8619298245614037,0.333,Q2LAE1/Q700W2,BP
carotenoid metabolic process [GO:0016116],1,1,0.7650000000000001,0.8619298245614037,1,Q2LAE1,BP
embryo sac development [GO:0009553],10,1,0.06817130367994761,0.8619298245614037,0.1,Q2LAE1,BP
negative regulation of flower development [GO:0009910],6,2,0.5697519843280208,0.8619298245614037,0.333,Q2LAE1/Q38847,BP
plant ovule development [GO:0048481],6,1,0.19997048932111194,0.8619298245614037,0.167,Q2LAE1,BP
regulation of plant-type hypersensitive response [GO:0010363],2,1,0.5851350675337672,0.8619298245614037,0.5,Q2LAE1,BP
regulation of programmed cell death [GO:0043067],1,1,0.7650000000000001,0.8619298245614037,1,Q2LAE1,BP
response to nitrate starvation [GO:0090548],1,1,0.7650000000000001,0.8619298245614037,1,Q2LAE1,BP
secondary shoot formation [GO:0010223],3,2,0.8604238380451487,0.9205666310621526,0.667,Q2LAE1/Q9FRV4,BP
cellular response to auxin stimulus [GO:0071365],6,2,0.5697519843280208,0.8619298245614037,0.333,Q38847/Q7XJU0,BP
floral organ abscission [GO:0010227],1,1,0.7650000000000001,0.8619298245614037,1,Q38847,BP
fruit abscission [GO:0060867],1,1,0.7650000000000001,0.8619298245614037,1,Q38847,BP
fruit dehiscence [GO:0010047],2,1,0.5851350675337672,0.8619298245614037,0.5,Q38847,BP
gibberellin catabolic process [GO:0045487],1,1,0.7650000000000001,0.8619298245614037,1,Q38847,BP
negative regulation of floral organ abscission [GO:0060862],1,1,0.7650000000000001,0.8619298245614037,1,Q38847,BP
negative regulation of gene expression [GO:0010629],2,2,0.9448649324662332,0.961499878460357,1,Q38847/O23077,BP
negative regulation of seed maturation [GO:2000692],1,1,0.7650000000000001,0.8619298245614037,1,Q38847,BP
"negative regulation of short-day photoperiodism, flowering [GO:0048577]",2,1,0.5851350675337672,0.8619298245614037,0.5,Q38847,BP
positive regulation of DNA-templated transcription [GO:0045893],33,5,0.08273770367938582,0.8619298245614037,0.152,Q38847/Q94FL7/Q9SAK5/Q9LTF7/Q8H181,BP
somatic embryogenesis [GO:0010262],4,2,0.763445545579071,0.8619298245614037,0.5,Q38847/Q9M1R4,BP
carpel development [GO:0048440],2,1,0.5851350675337672,0.8619298245614037,0.5,Q38874,BP
cytokinin biosynthetic process [GO:0009691],5,1,0.26160073848893006,0.8619298245614037,0.2,Q38874,BP
floral meristem determinacy [GO:0010582],2,1,0.5851350675337672,0.8619298245614037,0.5,Q38874,BP
plasmodesmata-mediated intercellular transport [GO:0010497],4,1,0.3421723945110777,0.8619298245614037,0.25,Q38874,BP
regulation of meristem structural organization [GO:0009934],3,1,0.44749068227807576,0.8619298245614037,0.333,Q38874,BP
stem cell population maintenance [GO:0019827],3,1,0.44749068227807576,0.8619298245614037,0.333,Q38874,BP
cell differentiation [GO:0030154],16,4,0.460039456058428,0.8619298245614037,0.25,Q38895/Q7DMA9/Q8GXW1/Q9SZI2,BP
formation of plant organ boundary [GO:0090691],2,2,0.9448649324662332,0.961499878460357,1,Q38895/Q9FRV4,BP
hormone-mediated signaling pathway [GO:0009755],1,1,0.7650000000000001,0.8619298245614037,1,Q38895,BP
regulation of cell population proliferation [GO:0042127],5,1,0.26160073848893006,0.8619298245614037,0.2,Q38895,BP
regulation of cell size [GO:0008361],6,3,0.8538730871429621,0.9205666310621526,0.5,Q38895/Q8VZS9/Q9LSD5,BP
specification of floral organ identity [GO:0010093],1,1,0.7650000000000001,0.8619298245614037,1,Q38895,BP
proton export across plasma membrane [GO:0120029],3,2,0.8604238380451487,0.9205666310621526,0.667,Q42556/Q43128,BP
proanthocyanidin biosynthetic process [GO:0010023],2,1,0.5851350675337672,0.8619298245614037,0.5,Q43128,BP
seed coat development [GO:0010214],3,1,0.44749068227807576,0.8619298245614037,0.333,Q43128,BP
vacuolar acidification [GO:0007035],1,1,0.7650000000000001,0.8619298245614037,1,Q43128,BP
vacuole organization [GO:0007033],4,1,0.3421723945110777,0.8619298245614037,0.25,Q43128,BP
leaf senescence [GO:0010150],11,3,0.5022355184012318,0.8619298245614037,0.273,Q4VCM1/Q93WF6/Q9ZVN2,BP
sterol catabolic process [GO:0016127],1,1,0.7650000000000001,0.8619298245614037,1,Q4VCM1,BP
cotyledon boundary formation [GO:0090451],1,1,0.7650000000000001,0.8619298245614037,1,Q6X7J5,BP
cotyledon development [GO:0048825],3,1,0.44749068227807576,0.8619298245614037,0.333,Q6X7J5,BP
establishment of cell polarity [GO:0030010],2,2,0.9448649324662332,0.961499878460357,1,Q6X7J5/Q7DMA9,BP
positive regulation of cell population proliferation [GO:0008284],6,3,0.8538730871429621,0.9205666310621526,0.5,Q6X7J5/Q9FNA4/Q9SHY8,BP
regulation of developmental process [GO:0050793],2,2,0.9448649324662332,0.961499878460357,1,Q6X7J5/Q8S8C6,BP
cytokinin-activated signaling pathway [GO:0009736],11,2,0.22917890533610485,0.8619298245614037,0.182,Q7DMA9/Q9FG05,BP
embryonic pattern specification [GO:0009880],1,1,0.7650000000000001,0.8619298245614037,1,Q7DMA9,BP
lateral root development [GO:0048527],9,3,0.6427405482700633,0.8619298245614037,0.333,Q7DMA9/Q9FRV4/Q9SKD9,BP
response to cytokinin [GO:0009735],9,4,0.8616376252675166,0.9205666310621526,0.444,Q7DMA9/Q84JF5/Q9C9L2/Q9FG05,BP
root development [GO:0048364],22,4,0.20313207495359065,0.8619298245614037,0.182,Q7DMA9/Q7XJU0/Q93WF6/Q9M1R4,BP
very long-chain fatty acid biosynthetic process [GO:0042761],6,3,0.8538730871429621,0.9205666310621526,0.5,Q7DMA9/Q8VZB2/Q9MAM3,BP
male meiotic nuclear division [GO:0007140],1,1,0.7650000000000001,0.8619298245614037,1,Q7XJU0,BP
meiotic cell cycle [GO:0051321],3,1,0.44749068227807576,0.8619298245614037,0.333,Q7XJU0,BP
metaxylem development [GO:0090058],2,1,0.5851350675337672,0.8619298245614037,0.5,Q7XJU0,BP
xylem development [GO:0010089],7,2,0.4827772996950015,0.8619298245614037,0.286,Q7XJU0/Q9SAK5,BP
chloroplast organization [GO:0009658],17,3,0.1994042066232138,0.8619298245614037,0.176,Q84JF5/O22227/Q9FLD8,BP
plastid transcription [GO:0042793],1,1,0.7650000000000001,0.8619298245614037,1,Q84JF5,BP
